"P(i,k)",Value
"Row(_1=0, _2=110)",-12674374
"Row(_1=0, _2=111)",-6160125
"Row(_1=0, _2=112)",-2191088
"Row(_1=0, _2=113)",-12272871
"Row(_1=0, _2=114)",7281217
"Row(_1=0, _2=115)",-8942310
"Row(_1=0, _2=116)",4641044
"Row(_1=0, _2=117)",-12932
"Row(_1=0, _2=118)",3430070
"Row(_1=0, _2=119)",-5021091
"Row(_1=0, _2=120)",5344656
"Row(_1=0, _2=121)",-9072166
"Row(_1=0, _2=122)",8634024
"Row(_1=0, _2=123)",-9681770
"Row(_1=0, _2=124)",1572301
"Row(_1=0, _2=125)",1584155
"Row(_1=0, _2=126)",-5065477
"Row(_1=0, _2=127)",-1187200
"Row(_1=1, _2=0)",-7508445
"Row(_1=1, _2=1)",8247222
"Row(_1=1, _2=2)",-3411020
"Row(_1=1, _2=3)",-3116056
"Row(_1=1, _2=4)",-2304922
"Row(_1=1, _2=5)",-3987559
"Row(_1=1, _2=6)",-4828045
"Row(_1=1, _2=7)",9806299
"Row(_1=1, _2=8)",9926228
"Row(_1=1, _2=9)",2324938
"Row(_1=1, _2=10)",4710912
"Row(_1=1, _2=11)",-1955298
"Row(_1=1, _2=12)",10628315
"Row(_1=1, _2=13)",1817827
"Row(_1=1, _2=14)",6193948
"Row(_1=1, _2=15)",-10632781
"Row(_1=1, _2=16)",-3584886
"Row(_1=1, _2=17)",3749446
"Row(_1=1, _2=18)",-5188199
"Row(_1=1, _2=19)",5197608
"Row(_1=1, _2=20)",-3691002
"Row(_1=1, _2=21)",394314
"Row(_1=1, _2=22)",1644201
"Row(_1=1, _2=23)",2545153
"Row(_1=1, _2=24)",-6731316
"Row(_1=1, _2=25)",8351867
"Row(_1=1, _2=26)",-3460291
"Row(_1=1, _2=27)",-6107238
"Row(_1=1, _2=28)",-4672514
"Row(_1=1, _2=29)",8709049
"Row(_1=1, _2=30)",4984449
"Row(_1=1, _2=31)",-1021308
"Row(_1=1, _2=32)",2122480
"Row(_1=1, _2=33)",354222
"Row(_1=1, _2=34)",668877
"Row(_1=1, _2=35)",-1979022
"Row(_1=1, _2=36)",-797183
"Row(_1=1, _2=37)",3529692
"Row(_1=1, _2=38)",2223766
"Row(_1=1, _2=39)",-3245868
"Row(_1=1, _2=40)",1131027
"Row(_1=1, _2=41)",-5565324
"Row(_1=1, _2=42)",6901692
"Row(_1=1, _2=43)",-1240548
"Row(_1=1, _2=44)",-3693009
"Row(_1=1, _2=45)",4778442
"Row(_1=1, _2=46)",-404032
"Row(_1=1, _2=47)",-2792455
"Row(_1=1, _2=48)",750632
"Row(_1=1, _2=49)",2431329
"Row(_1=1, _2=50)",-8175073
"Row(_1=1, _2=51)",1659112
"Row(_1=1, _2=52)",-708679
"Row(_1=1, _2=53)",6010283
"Row(_1=1, _2=54)",3957560
"Row(_1=1, _2=55)",5582209
"Row(_1=1, _2=56)",-282371
"Row(_1=1, _2=57)",11454150
"Row(_1=1, _2=58)",3601674
"Row(_1=1, _2=59)",6398030
"Row(_1=1, _2=60)",10843644
"Row(_1=1, _2=61)",7401948
"Row(_1=1, _2=62)",887979
"Row(_1=1, _2=63)",-11808167
"Row(_1=1, _2=64)",5126179
"Row(_1=1, _2=65)",6103096
"Row(_1=1, _2=66)",-822421
"Row(_1=1, _2=67)",-3590766
"Row(_1=1, _2=68)",4354110
"Row(_1=1, _2=69)",-1769652
"Row(_1=1, _2=70)",-9586472
"Row(_1=1, _2=71)",3952612
"Row(_1=1, _2=72)",2193286
"Row(_1=1, _2=73)",-10531140
"Row(_1=1, _2=74)",-3275545
"Row(_1=1, _2=75)",8159515
"Row(_1=1, _2=76)",-12677148
"Row(_1=1, _2=77)",14778958
"Row(_1=1, _2=78)",-3403148
"Row(_1=1, _2=79)",-12780423
"Row(_1=1, _2=80)",5799417
"Row(_1=1, _2=81)",-10805646
"Row(_1=1, _2=82)",4119481
"Row(_1=1, _2=83)",-2624927
"Row(_1=1, _2=84)",-1505
"Row(_1=1, _2=85)",5276522
"Row(_1=1, _2=86)",-381436
"Row(_1=1, _2=87)",-5812293
"Row(_1=1, _2=88)",2384340
"Row(_1=1, _2=89)",-6126503
"Row(_1=1, _2=90)",1861073
"Row(_1=1, _2=91)",3689808
"Row(_1=1, _2=92)",-3680641
"Row(_1=1, _2=93)",-11489725
"Row(_1=1, _2=94)",1234011
"Row(_1=1, _2=95)",-2854620
"Row(_1=1, _2=96)",-4481731
"Row(_1=1, _2=97)",-410134
"Row(_1=1, _2=98)",4535611
"Row(_1=1, _2=99)",-439484
"Row(_1=1, _2=100)",-705233
"Row(_1=1, _2=101)",-1070306
"Row(_1=1, _2=102)",6174824
"Row(_1=1, _2=103)",-414190
"Row(_1=1, _2=104)",-3340281
"Row(_1=1, _2=105)",716069
"Row(_1=1, _2=106)",9916781
"Row(_1=1, _2=107)",-4758629
"Row(_1=1, _2=108)",1346876
"Row(_1=1, _2=109)",2142637
"Row(_1=1, _2=110)",7260380
"Row(_1=1, _2=111)",-7654978
"Row(_1=1, _2=112)",-826531
"Row(_1=1, _2=113)",-203001
"Row(_1=1, _2=114)",3385096
"Row(_1=1, _2=115)",2476011
"Row(_1=1, _2=116)",-2156486
"Row(_1=1, _2=117)",-5470823
"Row(_1=1, _2=118)",-3033692
"Row(_1=1, _2=119)",-2518782
"Row(_1=1, _2=120)",-1991536
"Row(_1=1, _2=121)",8369541
"Row(_1=1, _2=122)",-5465449
"Row(_1=1, _2=123)",-8589212
"Row(_1=1, _2=124)",3961314
"Row(_1=1, _2=125)",53634
"Row(_1=1, _2=126)",3689002
"Row(_1=1, _2=127)",11496607
"Row(_1=2, _2=0)",-5518265
"Row(_1=2, _2=1)",-2264649
"Row(_1=2, _2=2)",-2771125
"Row(_1=2, _2=3)",-2348753
"Row(_1=2, _2=4)",-5159796
"Row(_1=2, _2=5)",-5986989
"Row(_1=2, _2=6)",-1585290
"Row(_1=2, _2=7)",7464016
"Row(_1=2, _2=8)",-6721453
"Row(_1=2, _2=9)",1498488
"Row(_1=2, _2=10)",-4623250
"Row(_1=2, _2=11)",1935645
"Row(_1=2, _2=12)",660649
"Row(_1=2, _2=13)",-3132780
"Row(_1=2, _2=14)",5128844
"Row(_1=2, _2=15)",-8736181
"Row(_1=2, _2=16)",-5154615
"Row(_1=2, _2=17)",7976522
"Row(_1=2, _2=18)",-6708413
"Row(_1=2, _2=19)",4683670
"Row(_1=2, _2=20)",-3308063
"Row(_1=2, _2=21)",3852569
"Row(_1=2, _2=22)",-3172521
"Row(_1=2, _2=23)",1697071
"Row(_1=2, _2=24)",8370334
"Row(_1=2, _2=25)",-4409092
"Row(_1=2, _2=26)",1127328
"Row(_1=2, _2=27)",5331353
"Row(_1=2, _2=28)",2674000
"Row(_1=2, _2=29)",-5231625
"Row(_1=2, _2=30)",848392
"Row(_1=2, _2=31)",5657649
"Row(_1=2, _2=32)",-1347998
"Row(_1=2, _2=33)",638753
"Row(_1=2, _2=34)",-7142614
"Row(_1=2, _2=35)",-591280
"Row(_1=2, _2=36)",-1018766
"Row(_1=2, _2=37)",11537764
"Row(_1=2, _2=38)",4044383
"Row(_1=2, _2=39)",-6591995
"Row(_1=2, _2=40)",1862191
"Row(_1=2, _2=41)",-5586398
"Row(_1=2, _2=42)",11386342
"Row(_1=2, _2=43)",-1177983
"Row(_1=2, _2=44)",-7128419
"Row(_1=2, _2=45)",470227
"Row(_1=2, _2=46)",12690350
"Row(_1=2, _2=47)",3401011
"Row(_1=2, _2=48)",5009262
"Row(_1=2, _2=49)",2166166
"Row(_1=2, _2=50)",1285686
"Row(_1=2, _2=51)",-1780979
"Row(_1=2, _2=52)",-62538
"Row(_1=2, _2=53)",2173035
"Row(_1=2, _2=54)",17297065
"Row(_1=2, _2=55)",-15264665
"Row(_1=2, _2=56)",8003622
"Row(_1=2, _2=57)",3360430
"Row(_1=2, _2=58)",1000650
"Row(_1=2, _2=59)",7626848
"Row(_1=2, _2=60)",405234
"Row(_1=2, _2=61)",-10756558
"Row(_1=2, _2=62)",-2138968
"Row(_1=2, _2=63)",-10007950
"Row(_1=2, _2=64)",321015
"Row(_1=2, _2=65)",4383739
"Row(_1=2, _2=66)",-84801
"Row(_1=2, _2=67)",5360664
"Row(_1=2, _2=68)",6209426
"Row(_1=2, _2=69)",-2290434
"Row(_1=2, _2=70)",-742082
"Row(_1=2, _2=71)",2629963
"Row(_1=2, _2=72)",5731792
"Row(_1=2, _2=73)",-5329243
"Row(_1=2, _2=74)",4871909
"Row(_1=2, _2=75)",1763147
"Row(_1=2, _2=76)",1639492
"Row(_1=2, _2=77)",-93655
"Row(_1=2, _2=78)",-4908829
"Row(_1=2, _2=79)",-13264649
"Row(_1=2, _2=80)",13037261
"Row(_1=2, _2=81)",-357056
"Row(_1=2, _2=82)",-6564709
"Row(_1=2, _2=83)",6482580
"Row(_1=2, _2=84)",-10613805
"Row(_1=2, _2=85)",-3305052
"Row(_1=2, _2=86)",-1349706
"Row(_1=2, _2=87)",-8095096
"Row(_1=2, _2=88)",5590603
"Row(_1=2, _2=89)",-2288831
"Row(_1=2, _2=90)",-1646386
"Row(_1=2, _2=91)",149891
"Row(_1=2, _2=92)",-1747818
"Row(_1=2, _2=93)",-3419950
"Row(_1=2, _2=94)",5409652
"Row(_1=2, _2=95)",-3719778
"Row(_1=2, _2=96)",-10032593
"Row(_1=2, _2=97)",5334763
"Row(_1=2, _2=98)",-10311996
"Row(_1=2, _2=99)",2560328
"Row(_1=2, _2=100)",-1462185
"Row(_1=2, _2=101)",3401642
"Row(_1=2, _2=102)",7737688
"Row(_1=2, _2=103)",-7613062
"Row(_1=2, _2=104)",180489
"Row(_1=2, _2=105)",-4491158
"Row(_1=2, _2=106)",7313005
"Row(_1=2, _2=107)",-7122225
"Row(_1=2, _2=108)",10630550
"Row(_1=2, _2=109)",578957
"Row(_1=2, _2=110)",-5642124
"Row(_1=2, _2=111)",4186464
"Row(_1=2, _2=112)",-6122942
"Row(_1=2, _2=113)",6803317
"Row(_1=2, _2=114)",-2489822
"Row(_1=2, _2=115)",2433349
"Row(_1=2, _2=116)",-2632385
"Row(_1=2, _2=117)",-583118
"Row(_1=2, _2=118)",1410441
"Row(_1=2, _2=119)",-6423002
"Row(_1=2, _2=120)",-4710426
"Row(_1=2, _2=121)",4265593
"Row(_1=2, _2=122)",-1490141
"Row(_1=2, _2=123)",-7829521
"Row(_1=2, _2=124)",-5931671
"Row(_1=2, _2=125)",6974802
"Row(_1=2, _2=126)",8302245
"Row(_1=2, _2=127)",840594
"Row(_1=3, _2=0)",10668930
"Row(_1=3, _2=1)",3593035
"Row(_1=3, _2=2)",-6781384
"Row(_1=3, _2=3)",3606737
"Row(_1=3, _2=4)",-3763503
"Row(_1=3, _2=5)",2981044
"Row(_1=3, _2=6)",-1486887
"Row(_1=3, _2=7)",4944513
"Row(_1=3, _2=8)",-4366446
"Row(_1=3, _2=9)",-9547186
"Row(_1=3, _2=10)",-3369890
"Row(_1=3, _2=11)",2824432
"Row(_1=3, _2=12)",-4834020
"Row(_1=3, _2=13)",5725761
"Row(_1=3, _2=14)",19065194
"Row(_1=3, _2=15)",-5923950
"Row(_1=3, _2=16)",-5737142
"Row(_1=3, _2=17)",5882838
"Row(_1=3, _2=18)",2215484
"Row(_1=3, _2=19)",-58849
"Row(_1=3, _2=20)",2415202
"Row(_1=3, _2=21)",-3312829
"Row(_1=3, _2=22)",216940
"Row(_1=3, _2=23)",-2374987
"Row(_1=3, _2=24)",1960784
"Row(_1=3, _2=25)",-883483
"Row(_1=3, _2=26)",7113040
"Row(_1=3, _2=27)",-9575490
"Row(_1=3, _2=28)",1527070
"Row(_1=3, _2=29)",-2995945
"Row(_1=3, _2=30)",7437501
"Row(_1=3, _2=31)",-6187244
"Row(_1=3, _2=32)",574534
"Row(_1=3, _2=33)",4991812
"Row(_1=3, _2=34)",-1639000
"Row(_1=3, _2=35)",3475610
"Row(_1=3, _2=36)",-3686443
"Row(_1=3, _2=37)",-2739455
"Row(_1=3, _2=38)",5738631
"Row(_1=3, _2=39)",1887824
"Row(_1=3, _2=40)",7020536
"Row(_1=3, _2=41)",-5182045
"Row(_1=3, _2=42)",-609511
"Row(_1=3, _2=43)",-145975
"Row(_1=3, _2=44)",-4785394
"Row(_1=3, _2=45)",-4968332
"Row(_1=3, _2=46)",16458566
"Row(_1=3, _2=47)",1054665
"Row(_1=3, _2=48)",-7151982
"Row(_1=3, _2=49)",889947
"Row(_1=3, _2=50)",-2920460
"Row(_1=3, _2=51)",-11568742
"Row(_1=3, _2=52)",-10518853
"Row(_1=3, _2=53)",-3968061
"Row(_1=3, _2=54)",-439363
"Row(_1=3, _2=55)",5300514
"Row(_1=3, _2=56)",-3996202
"Row(_1=3, _2=57)",3406336
"Row(_1=3, _2=58)",-3428520
"Row(_1=3, _2=59)",-3348496
"Row(_1=3, _2=60)",7862230
"Row(_1=3, _2=61)",-8681642
"Row(_1=3, _2=62)",-8124577
"Row(_1=3, _2=63)",2132449
"Row(_1=3, _2=64)",5016764
"Row(_1=3, _2=65)",655226
"Row(_1=3, _2=66)",306231
"Row(_1=3, _2=67)",2693242
"Row(_1=3, _2=68)",-12159577
"Row(_1=3, _2=69)",-2825143
"Row(_1=3, _2=70)",-1530540
"Row(_1=3, _2=71)",-8851791
"Row(_1=3, _2=72)",3472758
"Row(_1=3, _2=73)",-6265104
"Row(_1=3, _2=74)",3425726
"Row(_1=3, _2=75)",-3185428
"Row(_1=3, _2=76)",349041
"Row(_1=3, _2=77)",1215985
"Row(_1=3, _2=78)",10622056
"Row(_1=3, _2=79)",2141479
"Row(_1=3, _2=80)",8083202
"Row(_1=3, _2=81)",7934731
"Row(_1=3, _2=82)",-470440
"Row(_1=3, _2=83)",7650815
"Row(_1=3, _2=84)",-6900215
"Row(_1=3, _2=85)",3341133
"Row(_1=3, _2=86)",-2428757
"Row(_1=3, _2=87)",972262
"Row(_1=3, _2=88)",6706359
"Row(_1=3, _2=89)",140582
"Row(_1=3, _2=90)",3714019
"Row(_1=3, _2=91)",10519740
"Row(_1=3, _2=92)",-4131167
"Row(_1=3, _2=93)",10884653
"Row(_1=3, _2=94)",-7888911
"Row(_1=3, _2=95)",352793
"Row(_1=3, _2=96)",4097259
"Row(_1=3, _2=97)",-2276359
"Row(_1=3, _2=98)",-4276806
"Row(_1=3, _2=99)",-3048674
"Row(_1=3, _2=100)",-3979566
"Row(_1=3, _2=101)",5754016
"Row(_1=3, _2=102)",-15997
"Row(_1=3, _2=103)",7625983
"Row(_1=3, _2=104)",-949402
"Row(_1=3, _2=105)",8405741
"Row(_1=3, _2=106)",-738490
"Row(_1=3, _2=107)",-1722809
"Row(_1=3, _2=108)",-4583607
"Row(_1=3, _2=109)",3432383
"Row(_1=3, _2=110)",-372240
"Row(_1=3, _2=111)",-6980156
"Row(_1=3, _2=112)",-6533951
"Row(_1=3, _2=113)",-1423743
"Row(_1=3, _2=114)",5330076
"Row(_1=3, _2=115)",4445851
"Row(_1=3, _2=116)",7428045
"Row(_1=3, _2=117)",19173664
"Row(_1=3, _2=118)",-7646546
"Row(_1=3, _2=119)",9210502
"Row(_1=3, _2=120)",-1216943
"Row(_1=3, _2=121)",235710
"Row(_1=3, _2=122)",-614790
"Row(_1=3, _2=123)",-975580
"Row(_1=3, _2=124)",-1870429
"Row(_1=3, _2=125)",-1197544
"Row(_1=3, _2=126)",-3010400
"Row(_1=3, _2=127)",3567005
"Row(_1=4, _2=0)",504951
"Row(_1=4, _2=1)",13454669
"Row(_1=4, _2=2)",437823
"Row(_1=4, _2=3)",-1211434
"Row(_1=4, _2=4)",9644481
"Row(_1=4, _2=5)",-8002362
"Row(_1=4, _2=6)",-2969188
"Row(_1=4, _2=7)",-1118630
"Row(_1=4, _2=8)",-10134353
"Row(_1=4, _2=9)",-8732987
"Row(_1=4, _2=10)",-3072100
"Row(_1=4, _2=11)",-5457994
"Row(_1=4, _2=12)",8192793
"Row(_1=4, _2=13)",-8515032
"Row(_1=4, _2=14)",8748134
"Row(_1=4, _2=15)",-7670377
"Row(_1=4, _2=16)",7181634
"Row(_1=4, _2=17)",8755100
"Row(_1=4, _2=18)",-195774
"Row(_1=4, _2=19)",-874651
"Row(_1=4, _2=20)",-19676681
"Row(_1=4, _2=21)",-935235
"Row(_1=4, _2=22)",-4888720
"Row(_1=4, _2=23)",11130889
"Row(_1=4, _2=24)",-5011130
"Row(_1=4, _2=25)",6564402
"Row(_1=4, _2=26)",1369417
"Row(_1=4, _2=27)",-671634
"Row(_1=4, _2=28)",623483
"Row(_1=4, _2=29)",885028
"Row(_1=4, _2=30)",10193553
"Row(_1=4, _2=31)",2822121
"Row(_1=4, _2=32)",5421344
"Row(_1=4, _2=33)",11667638
"Row(_1=4, _2=34)",8398383
"Row(_1=4, _2=35)",5947898
"Row(_1=4, _2=36)",-3634504
"Row(_1=4, _2=37)",-5898159
"Row(_1=4, _2=38)",-392544
"Row(_1=4, _2=39)",-1904536
"Row(_1=4, _2=40)",1487336
"Row(_1=4, _2=41)",5184133
"Row(_1=4, _2=42)",-229425
"Row(_1=4, _2=43)",2049588
"Row(_1=4, _2=44)",-5637975
"Row(_1=4, _2=45)",-418339
"Row(_1=4, _2=46)",5835175
"Row(_1=4, _2=47)",-7991882
"Row(_1=4, _2=48)",4968477
"Row(_1=4, _2=49)",-2538585
"Row(_1=4, _2=50)",3147663
"Row(_1=4, _2=51)",3092219
"Row(_1=4, _2=52)",-3407483
"Row(_1=4, _2=53)",1509932
"Row(_1=4, _2=54)",-5044275
"Row(_1=4, _2=55)",5149106
"Row(_1=4, _2=56)",1495141
"Row(_1=4, _2=57)",-5972336
"Row(_1=4, _2=58)",7199218
"Row(_1=4, _2=59)",1973086
"Row(_1=4, _2=60)",3073945
"Row(_1=4, _2=61)",7093549
"Row(_1=4, _2=62)",3393660
"Row(_1=4, _2=63)",-2093978
"Row(_1=4, _2=64)",1889465
"Row(_1=4, _2=65)",-398838
"Row(_1=4, _2=66)",-16191415
"Row(_1=4, _2=67)",-1996472
"Row(_1=4, _2=68)",-7452421
"Row(_1=4, _2=69)",-9863848
"Row(_1=4, _2=70)",7869884
"Row(_1=4, _2=71)",-6752229
"Row(_1=4, _2=72)",-4061398
"Row(_1=4, _2=73)",1598459
"Row(_1=4, _2=74)",-2326164
"Row(_1=4, _2=75)",-1442768
"Row(_1=4, _2=76)",-3863864
"Row(_1=4, _2=77)",705769
"Row(_1=4, _2=78)",1164743
"Row(_1=4, _2=79)",4302452
"Row(_1=4, _2=80)",-293521
"Row(_1=4, _2=81)",-5946304
"Row(_1=4, _2=82)",-9641380
"Row(_1=4, _2=83)",-2359939
"Row(_1=4, _2=84)",9138009
"Row(_1=4, _2=85)",1678382
"Row(_1=4, _2=86)",10489260
"Row(_1=4, _2=87)",2421763
"Row(_1=4, _2=88)",-4308428
"Row(_1=4, _2=89)",-3860368
"Row(_1=4, _2=90)",903713
"Row(_1=4, _2=91)",5351098
"Row(_1=4, _2=92)",-501830
"Row(_1=4, _2=93)",317635
"Row(_1=4, _2=94)",-8736013
"Row(_1=4, _2=95)",2908950
"Row(_1=4, _2=96)",8137694
"Row(_1=4, _2=97)",4754952
"Row(_1=4, _2=98)",-6267665
"Row(_1=4, _2=99)",-8743134
"Row(_1=4, _2=100)",69839
"Row(_1=4, _2=101)",2141938
"Row(_1=4, _2=102)",-10362866
"Row(_1=4, _2=103)",8761850
"Row(_1=4, _2=104)",243719
"Row(_1=4, _2=105)",-6699089
"Row(_1=4, _2=106)",-4053350
"Row(_1=4, _2=107)",-484154
"Row(_1=4, _2=108)",2195813
"Row(_1=4, _2=109)",-6221084
"Row(_1=4, _2=110)",-1196819
"Row(_1=4, _2=111)",-508226
"Row(_1=4, _2=112)",-2229474
"Row(_1=4, _2=113)",-13775669
"Row(_1=4, _2=114)",1550567
"Row(_1=4, _2=115)",-7761430
"Row(_1=4, _2=116)",6766846
"Row(_1=4, _2=117)",5754482
"Row(_1=4, _2=118)",3406024
"Row(_1=4, _2=119)",7182706
"Row(_1=4, _2=120)",1275575
"Row(_1=4, _2=121)",1285841
"Row(_1=4, _2=122)",-3740579
"Row(_1=4, _2=123)",-7683472
"Row(_1=4, _2=124)",-3571676
"Row(_1=4, _2=125)",-5837899
"Row(_1=4, _2=126)",-2352181
"Row(_1=4, _2=127)",-2450698
"Row(_1=5, _2=0)",2412897
"Row(_1=5, _2=1)",1725459
"Row(_1=5, _2=2)",1651496
"Row(_1=5, _2=3)",-1012951
"Row(_1=5, _2=4)",-6377658
"Row(_1=5, _2=5)",-2477975
"Row(_1=5, _2=6)",5131401
"Row(_1=5, _2=7)",2701969
"Row(_1=5, _2=8)",-1620212
"Row(_1=5, _2=9)",9805048
"Row(_1=5, _2=10)",5782816
"Row(_1=5, _2=11)",-646769
"Row(_1=5, _2=12)",1131413
"Row(_1=5, _2=13)",-10402735
"Row(_1=5, _2=14)",10235963
"Row(_1=5, _2=15)",1165011
"Row(_1=5, _2=16)",1332896
"Row(_1=5, _2=17)",1863698
"Row(_1=5, _2=18)",-4428711
"Row(_1=5, _2=19)",9566992
"Row(_1=5, _2=20)",-4034297
"Row(_1=5, _2=21)",-5883631
"Row(_1=5, _2=22)",296059
"Row(_1=5, _2=23)",8149675
"Row(_1=5, _2=24)",6469015
"Row(_1=5, _2=25)",3381979
"Row(_1=5, _2=26)",-3496077
"Row(_1=5, _2=27)",-6567234
"Row(_1=5, _2=28)",8387262
"Row(_1=5, _2=29)",4417152
"Row(_1=5, _2=30)",5715203
"Row(_1=5, _2=31)",9865817
"Row(_1=5, _2=32)",-73050
"Row(_1=5, _2=33)",8416328
"Row(_1=5, _2=34)",3769021
"Row(_1=5, _2=35)",3694239
"Row(_1=5, _2=36)",-4130909
"Row(_1=5, _2=37)",1771939
"Row(_1=5, _2=38)",4229068
"Row(_1=5, _2=39)",-5602542
"Row(_1=5, _2=40)",625238
"Row(_1=5, _2=41)",-2834488
"Row(_1=5, _2=42)",4011459
"Row(_1=5, _2=43)",-7254107
"Row(_1=5, _2=44)",4056480
"Row(_1=5, _2=45)",3550715
"Row(_1=5, _2=46)",-4635629
"Row(_1=5, _2=47)",511373
"Row(_1=5, _2=48)",-3289486
"Row(_1=5, _2=49)",-2445089
"Row(_1=5, _2=50)",8019336
"Row(_1=5, _2=51)",1321969
"Row(_1=5, _2=52)",-10839211
"Row(_1=5, _2=53)",4644230
"Row(_1=5, _2=54)",1811680
"Row(_1=5, _2=55)",8795175
"Row(_1=5, _2=56)",2371461
"Row(_1=5, _2=57)",11617762
"Row(_1=5, _2=58)",-8367032
"Row(_1=5, _2=59)",-8289866
"Row(_1=5, _2=60)",-3149628
"Row(_1=5, _2=61)",2040782
"Row(_1=5, _2=62)",1586336
"Row(_1=5, _2=63)",-5427077
"Row(_1=5, _2=64)",-13865692
"Row(_1=5, _2=65)",-5792848
"Row(_1=5, _2=66)",6925068
"Row(_1=5, _2=67)",-3515505
"Row(_1=5, _2=68)",-645956
"Row(_1=5, _2=69)",1410575
"Row(_1=5, _2=70)",14742372
"Row(_1=5, _2=71)",973212
"Row(_1=5, _2=72)",-6209966
"Row(_1=5, _2=73)",10289279
"Row(_1=5, _2=74)",10718678
"Row(_1=5, _2=75)",-2283639
"Row(_1=5, _2=76)",1108550
"Row(_1=5, _2=77)",-1576775
"Row(_1=5, _2=78)",2424996
"Row(_1=5, _2=79)",-1970314
"Row(_1=5, _2=80)",11697869
"Row(_1=5, _2=81)",-2216951
